READDI ID,Compound Name from Primary Screen (384),TimTech ID,Reorder 96-well Position,TT 384 Custom LDV Position,Brutto Formula,IUPAC NAME,SMILES,Primary SARS2  FRET Screen (10uM) Avg % of DMSO,Reorder SARS2 FRET Screen (10uM) Ave % of DMSO,Reorder SARS2 IC50 Curve FRET (10uM) Avg % of DMSO,Estimated IC50 (From 4 Point Curve),SARS2 NSP Complex FRET (10 uM) Average %,NSP15 FRET (10uM) Average % DMSO,SARS1 FRET (10uM) Average % DMSO,OC43 FRET (10uM) Average % DMSO,MERS FRET (10uM) Average % DMSO,229E FRET (10uM) Average % DMSO,MHV FRET (10uM) Average % DMSO,A549 CTG Toxicity (20uM) % DMSO,A549 CTG Toxicity Repeat (10uM) % DMSO,SARS-CoV-2 A549 (10uM) Low MOI %Virus,SARS-CoV-2 A549 (10uM) Low MOI %Cells,OC43 A549 (10uM) Low MOI %Virus,OC43 A549 (10uM) Low MOI %Cells,OC43 A549 (25 uM) Low MOI %Virus,OC43 A549 (25 uM) LOW MOI %Cells,OC43 A549 (10uM) High MOI %Virus,OC43 A549 (10uM) High MOI %Cells
RA-0020089-01,53-D08,ST005540,P1-C10,E19,C7H7ClO2S,methyl 5-(chloromethyl)thiophene-2-carboxylate,COC(C(S1)=CC=C1CCl)=O,38.5,10.8,7.3,Undefined,48.8,87.4,35.4,69.1,36.5,25.1,22.5,81.8,117.2,117.3,130.5,88.9,150,117.9,136.1,101.5,126.7
RA-0020216-01,155-C20,ST103661,P2-D6,G12,C15H14Cl3NO3S,"4-methyl-N-[(1Z)-3,5,6-trichloro-2,5-dimethyl-4-oxocyclohex-2-en-1-ylidene]benzene-1-sulfonamide",CC1=CC=C(C=C1)[S](=O)(=O)N=C2C(Cl)C(C)(Cl)C(=O)C(=C2C)Cl,6.3,11.5,15.4,4.73,20.1,5.8,20.5,15.1,36,5.4,9.2,99.8,95.3,40.6,113.9,69.7,107.9,75.6,118.4,87.1,100.3
RA-0020090-01,59-M05,ST015625,P1-A4,A7,C20H15N3O,"3-(4-methylphenyl)-2-(pyridin-3-yl)-3,4-dihydroquinazolin-4-one",CC1=CC=C(N2C(C3=CN=CC=C3)=NC4=CC=CC=C4C2=O)C=C1,5.9,11.8,19.3,2.148,72.2,92.7,65.1,85.4,36.8,52.6,32.5,78.7,116.4,108.9,129,85.1,101.4,90.1,142.1,116,131.9
RA-0020091-01,87-K16,ST057196,P1-B10,C19,C14H22OS,"2,6-di-tert-butyl-4-sulfanylphenol",CC(C)(C(C=C(C=C1C(C)(C)C)S)=C1O)C,22.3,12.1,17.7,2.233,70.7,91.4,74.1,77.7,36.5,46.7,38.3,71.8,113,104.8,115.3,66.6,114.4,108.1,127.4,110,138.2
RA-0020092-01,14-D9,ST078179,P1-B9,C17,C11H11NO3,3-(1-oxoisoindolin-2-yl)propanoic acid,OC(CCN1CC2=CC=CC=C2C1=O)=O,21.8,16.3,30.9,2.158,75.2,91.8,80.2,72.2,38.8,62.6,55,72.8,96.5,94.1,134.5,72.9,122.7,111.4,145,107.9,129.7
RA-0020093-01,37-E19,ST50593644,P2-E4,I8,C12H15N5O2S,"3-methyl-1-[7-(morpholin-4-yl)-2,1,3-benzoxadiazol-4-yl]thiourea",CNC(=S)NC1=CC=C(N2CCOCC2)C3=NON=C13,66,16.8,17.2,Undefined,56.7,21.9,19.1,17.7,34.3,5.2,20,106.4,95.1,98.8,111.2,69.2,109.6,99.5,133.3,86.1,82.1
RA-0020094-01,3-K17,ST025604,P1-H10,O19,C10H3Cl4NO2,"1-(2,3-dichlorophenyl)-3,4-dichloroazoline-2,5-dione",O=C(N1C2=CC=CC(Cl)=C2Cl)C(Cl)=C(C1=O)Cl,61.5,19.2,28.8,Undefined,60.6,80.5,35.1,25.4,35.2,7.2,30.1,95,104.1,155.1,104,82.2,104.6,138.8,130.7,102.7,111.1
RA-0020095-01,107-I22,ST044643,P1-B3,C5,C18H16N6O6S,"butyl 3,5-dinitro-4-[(1-phenyl-1H-1,2,3,4-tetrazol-5-yl)sulfanyl]benzoate",CCCCOC(C1=CC([N+]([O-])=O)=C(C([N+]([O-])=O)=C1)SC2=NN=NN2C3=CC=CC=C3)=O,13,20.5,27.3,7.224,65.9,72.1,53,68.4,37.5,22.3,54.7,70.9,111,88.8,132.2,92.8,125.3,99.1,142.2,119.6,127.9
RA-0020096-01,141-A8,ST095279,P2-C3,E6,C14H15NO,"3-benzoyl-2,4,5-trimethyl-1H-pyrrole
",CC1=C(C)C(=C(C)[NH]1)C(=O)C2=CC=CC=C2,12.5,20.5,31.3,10.47,66.3,85.2,68.9,91,36.5,61.4,53.1,100.1,88.5,129.8,120.7,102.3,119.7,86.6,123.7,119.5,84.5
RA-0020097-01,89-L10,ST059619,P1-G12,M23,C15H10O6,"2-(3,4-dihydroxyphenyl)-3,6-dihydroxy-4H-chromen-4-one",OC1=CC2=C(OC(C3=CC(O)=C(O)C=C3)=C(C2=O)O)C=C1,58.6,22,25.2,Undefined,68.7,93.5,40.2,40.8,36.3,71.5,12.3,85.1,83.9,89.6,93.2,35.2,68.1,57.6,75.1,68.3,65.6
