READDI ID,Compound Name from Primary Screen (384),TimTech ID,Reorder 96-well Position,TT 384 Custom LDV Position,Brutto Formula,IUPAC NAME,SMILES,Primary SARS2  FRET Screen (10uM) Avg % of DMSO,Reorder SARS2 FRET Screen (10uM) Ave % of DMSO,Reorder SARS2 IC50 Curve FRET (10uM) Avg % of DMSO,Estimated IC50 (From 4 Point Curve),SARS2 NSP Complex FRET (10 uM) Average %,NSP15 FRET (10uM) Average % DMSO,SARS1 FRET (10uM) Average % DMSO,OC43 FRET (10uM) Average % DMSO,MERS FRET (10uM) Average % DMSO,229E FRET (10uM) Average % DMSO,MHV FRET (10uM) Average % DMSO,A549 CTG Toxicity (20uM) % DMSO,A549 CTG Toxicity Repeat (10uM) % DMSO,SARS-CoV-2 A549 (10uM) Low MOI %Virus,SARS-CoV-2 A549 (10uM) Low MOI %Cells,OC43 A549 (10uM) Low MOI %Virus,OC43 A549 (10uM) Low MOI %Cells,OC43 A549 (25 uM) Low MOI %Virus,OC43 A549 (25 uM) LOW MOI %Cells,OC43 A549 (10uM) High MOI %Virus,OC43 A549 (10uM) High MOI %Cells
RA-0020554-01,141-K06,ST095271,P3-B8,I10,C14H19NO3,"ethyl 3,6,6-trimethyl-4-oxo-5,6,7-trihydroindole-2-carboxylate",CCOC(=O)c1[nH]c2c(c1C)C(=O)CC(C2)(C)C,6.4,42,36,Undefined,68.9,96.5,92.1,85,53.5,,86.8,96.1,95.4,90,104.5,,,,,,
RA-0020118-01,59-O05,ST015627,P1-B5,C9,C20H15N3O,"3-(3-methylphenyl)-2-(pyridin-3-yl)-3,4-dihydroquinazolin-4-one",CC1=CC(N2C(C3=CN=CC=C3)=NC4=CC=CC=C4C2=O)=CC=C1,15.7,42.2,41,Undefined,85.9,92.1,83,97.2,43.8,78.2,74,75.7,119.2,96.2,136.5,77.6,116.6,103.1,147.4,123.1,136.3
RA-0020119-01,156-N4,ST104704,P2-D8,G16,C17H12ClF3N2O2,"4-[(4-chlorophenyl)(hydroxy)methyl]-1-phenyl-3-(trifluoromethyl)-4,5-dihydro-1H-pyrazol-5-one",OC(C1C(=O)N(N=C1C(F)(F)F)C2=CC=CC=C2)C3=CC=C(Cl)C=C3,43.2,42.4,43.6,2.551,67.2,88.2,57.4,47,38.6,69.6,47.8,94.3,88.8,160.5,109.5,62.6,137.5,11.1,137.1,50.1,75.7
RA-0020120-01,74-K22,ST039256,P1-C6,E11,C13H10F6N2OS,"N-(3-cyano(4,5,6,7-tetrahydrobenzo[b]thiophen-2-yl))-3,3,3-trifluoro-2-(triflu oromethyl)propanamide",FC(F)(C(C(F)(F)F)C(NC1=C(C#N)C2=C(CCCC2)S1)=O)F,32.4,42.7,56.6,Undefined,69.9,91.3,53.1,33.7,36,19,65.1,81.8,117.9,83.8,132.2,83.4,112.6,113.7,152.2,106.5,118.3
RA-0020121-01,65-J18,ST027857,P1-C9,E17,C21H19N3O3S,"3-[4-(2,3-dihydro-1H-indole-1-sulfonyl)phenyl]-1-phenylurea",O=C(NC1=CC=CC=C1)NC2=CC=C(C=C2)S(=O)(N3CCC4=C3C=CC=C4)=O,36.9,43.3,60.7,Undefined,62.9,92.2,51.5,65,77.6,58.6,51.7,77.6,97,51.7,135.9,75.7,141.2,82.8,79.5,90.8,121.1
RA-0020122-01,104-L18,ST028855,P1-B12,C23,C18H16N4O6S,"butyl 4-(1H-1,3-benzodiazol-2-ylsulfanyl)-3,5-dinitrobenzoate",CCCCOC(C1=CC([N+]([O-])=O)=C(C([N+]([O-])=O)=C1)SC2=NC3=CC=CC=C3N2)=O,24.5,44.4,64.6,Undefined,73.3,82.9,76.5,71.8,38.2,39.7,70.1,63.9,101.9,109,75.2,59.4,108.3,42.3,79.4,56.6,88.9
RA-0020123-01,109-C13,ST066661,P1-C5,E9,C21H18N4O2S,"3-amino-N-(2-ethoxyphenyl)-6-(pyridin-4-yl)thieno[2,3-b]pyridine-2-carboxamide",CCOC1=CC=CC=C1NC(C2=C(N)C3=C(N=C(C4=CC=NC=C4)C=C3)S2)=O,31.5,45.6,90.5,Undefined,98.5,97.1,83.4,67.2,51.4,91.9,59.9,81.4,121.4,107.2,133.4,106.1,122.7,149.3,134.5,129,135.5
RA-0020124-01,33-I19,ST50601890,P1-F7,K13,C24H16Cl2N4O3,"2-(4,5-dibenzoyl-1H-1,2,3-triazol-1-yl)-N-(3,4-dichlorophenyl)acetamide",ClC1=CC=C(C=C1Cl)NC(CN2N=NC(C(C3=CC=CC=C3)=O)=C2C(C4=CC=CC=C4)=O)=O,55.6,49,62.5,Undefined,65.4,81.9,58.5,61.2,73.9,75.7,44.7,98.2,86.9,1.3,96,71,100.2,178,9.4,24.6,54.7
RA-0020125-01,23-G7,ST092789,P1-D2,G3,C20H14Cl2N4,(4-chlorophenyl){3-[(4-chlorophenyl)amino]quinoxalin-2-yl}amine,ClC1=CC=C(NC2=NC3=CC=CC=C3N=C2NC4=CC=C(Cl)C=C4)C=C1,41.4,49.8,70.3,Undefined,59.3,85.8,45.9,69.4,86.1,63.6,52.7,58.7,72.7,12.3,96,40.2,69.2,3.7,40,69,91.7
RA-0020126-01,70-F11,ST034398,P1-H8,O15,C16H14Cl2N2O2S2,"2-{[(3,4-dichlorophenyl)carbamothioyl]sulfanyl}ethyl N-phenylcarbamate",ClC1=CC=C(C=C1Cl)NC(SCCOC(NC2=CC=CC=C2)=O)=S,61,50.9,70.4,Undefined,76.9,94,68.1,55.8,61.1,77.7,74.5,96.1,100.6,147.2,112.6,240.4,103.1,79,111.9,135.3,126.7
RA-0020127-01,87-D22,ST057760,P1-D1,G1,C14H10O5,"2,6,7-trihydroxy-9-methyl-3H-xanthen-3-one",CC(C1=C(O2)C=C(O)C(O)=C1)=C3C2=CC(C(O)=C3)=O,40.6,54.4,83.4,Undefined,90.1,86.7,72,59.4,49.8,77.6,60.3,77.1,106.9,55.4,70.4,68.8,74.6,58,95.1,89.1,65.8
RA-0020128-01,112-F9,R870900,P2-E2,I4,C10H7Cl2N3OS,"1-(3,4-dichlorophenyl)-3-(1,3-thiazol-2-yl)urea
",ClC1=CC=C(NC(=O)NC2=NC=CS2)C=C1Cl,43.9,55.8,64.5,Undefined,76.7,95.7,51,88.8,89.5,72.7,57.1,82.5,76.1,90.8,56.7,87.1,38.4,24.2,48.6,130,32.8
RA-0020129-01,143-A15,ST096275,P2-C9,E18,C20H17N5O,5-amino-N-(naphthalen-2-yl)-3-(phenylamino)-1H-pyrazole-4-carboxamide,NC1=C(C(=O)NC2=CC3=CC=CC=C3C=C2)C(=N[NH]1)NC4=CC=CC=C4,51.4,57.6,78.3,Undefined,72.6,88.2,62.1,61.1,68.6,68.6,60.6,86.5,93.5,51.4,103.3,136.1,136.4,106.8,28.3,150.2,94.8
RA-0020130-01,156-P4,ST104705,P2-D9,G18,C17H11Cl2F3N2O2,"4-[(2,4-dichlorophenyl)(hydroxy)methyl]-1-phenyl-3-(trifluoromethyl)-4,5-dihydro-1H-pyrazol-5-one",OC(C1C(=O)N(N=C1C(F)(F)F)C2=CC=CC=C2)C3=C(Cl)C=C(Cl)C=C3,21.2,57.6,60.5,Undefined,78.4,89.8,66.4,58.1,54.9,78.7,61.9,108.8,93.1,166.1,101.3,74.5,132.6,13.2,127,61.9,79
RA-0020131-01,62-F19,ST023850,P1-D6,G11,C10H4N6O,"indeno[2,3-e]1,2,3,4-tetraazolo[1,5-b]1,2,4-triazin-10-one",O=C1C2=CC=CC=C2C3=NN4N=NN=C4N=C13,44,58,59,Undefined,78.8,51.9,67.1,56.5,41.5,17.5,62.2,0.9,65.3,8.7,26.2,73.8,2.7,36.3,0.1,10.5,3.6
RA-0020132-01,16-H11,ST081918,P1-E3,I5,C17H10BrClN2O,3-[(5-bromoindol-3-yl)methylene]-6-chloro-1H-benzo[d]azolin-2-one,ClC1=CC2=C(C(C(N2)=O)=CC3=CNC4=C3C=C(Br)C=C4)C=C1,48.3,59.2,72.2,Undefined,75.9,96.2,52,79.3,97.2,73.8,60.7,83.7,116,59.5,90.1,75.6,108.3,28.1,75.6,87.8,109.9
RA-0020133-01,128-M14,ST088114,P1-C1,E1,C12H6N2O2,"1,4-dihydroxynaphthalene-2,3-dicarbonitrile",OC1=C(C(C#N)=C(C2=C1C=CC=C2)O)C#N,24.6,59.3,83.7,Undefined,92.3,94.9,75.9,75.9,55.4,83.5,60.3,68,94.4,62.9,81.2,72.7,74.9,56.3,90.8,88.9,99.9
RA-0020134-01,123-L17,ST060750,P1-E2,I3,C19H14ClN3OS,"N-(3-chlorophenyl)-3-methyl-1-phenyl-1H-thieno[2,3-c]pyrazole-5-carboxamide",CC1=NN(C2=C1C=C(C(NC3=CC(Cl)=CC=C3)=O)S2)C4=CC=CC=C4,48.1,59.4,68.3,Undefined,66.2,86.8,56.6,75,90.2,67.8,58,81.9,123.7,101.4,135,61.9,78.4,91.9,88.5,103.3,95.5
RA-0020135-01,71-A13,ST034889,P1-E1,I1,C21H18FN3O2S2,"3-[4-(2,3-dihydro-1H-indole-1-sulfonyl)phenyl]-1-(4-fluorophenyl)thiourea",FC1=CC=C(NC(NC2=CC=C(S(=O)(N3CCC4=CC=CC=C34)=O)C=C2)=S)C=C1,47.4,59.5,66.4,Undefined,75.4,88,57.7,75,95.3,74.4,63.1,89.8,102.9,37.2,66.2,69.5,74.2,22.5,64.5,69.7,63.4
RA-0020136-01,16-L7,ST081872,P1-G1,M1,C18H15Cl2NO,"9-chloro-4-(4-chlorophenyl)-3,4,5,3a,9b-pentahydrocyclopenta[1,2-c]quinolin-6- ol",OC1=CC=C(C2=C1NC(C3=CC=C(Cl)C=C3)C4C2C=CC4)Cl,56.5,59.6,85.6,Undefined,83.9,91.6,65.3,71.8,84.8,80,71.1,97.6,76.8,12.5,4.1,51.5,50.7,38.2,76.9,30.5,30.2
RA-0020137-01,141-J16,ST095646,P2-C8,E16,C16H18N2O2,"5-acetyl-N-benzyl-2,4-dimethyl-1H-pyrrole-3-carboxamide
",CC(=O)C1=C(C)C(=C(C)[NH]1)C(=O)NCC2=CC=CC=C2,20.8,60.9,71.8,Undefined,84.4,86.9,89,93.6,50.3,90.1,85.6,96.3,101.5,131.7,109.2,98.7,132.1,129.2,147.5,113.6,89.6
RA-0020138-01,24-G8,ST033547,P1-H4,O7,C23H18BrN3O,[2-(4-bromophenyl)-6-phenylpyrimidin-4-yl](4-methoxyphenyl)amine,COC1=CC=C(NC2=NC(C3=CC=C(Br)C=C3)=NC(C4=CC=CC=C4)=C2)C=C1,59.7,61,88.6,Undefined,73.4,97.8,58.1,86.1,96,78,55,93.4,94.5,162.3,87.3,107.8,102.4,97.9,117.6,122.5,105.9
RA-0020139-01,133-O7,ST083138,P1-A5,A9,C23H19NO3S2,N-{4-hydroxy-3-[(4-methylphenyl)sulfanyl]naphthalen-1-yl}benzenesulfonamide,CC1=CC=C(SC2=C(O)C3=C(C=CC=C3)C(NS(=O)(C4=CC=CC=C4)=O)=C2)C=C1,7.3,61.3,76.5,Undefined,90.7,97.2,88.2,58.4,37.7,13.1,75.7,70.6,106.9,68.8,135.2,82.4,125.2,80.6,123.4,105.1,133
RA-0020140-01,89-L6,ST059582,P1-B7,C13,C9H3Cl2NO2,"6,7-dichloro-5,8-dihydroquinoline-5,8-dione",ClC1=C(C(C2=NC=CC=C2C1=O)=O)Cl,19.6,63.1,62.3,Undefined,74.4,53.1,68.6,41.2,38.3,15.4,54.8,76,113.7,81.5,124.6,84.7,108.5,124.2,141.3,115.4,129.6
RA-0020141-01,88-K16,ST058248,P1-G3,M5,C19H15Cl2N3O3S,"3-{4-[(2,3-dichlorophenyl)sulfamoyl]phenyl}-1-phenylurea",ClC1=C(Cl)C(NS(=O)(C2=CC=C(NC(NC3=CC=CC=C3)=O)C=C2)=O)=CC=C1,56.9,63.3,77.8,Undefined,75.5,95.3,53.7,87.9,87.3,79,66.1,106.3,104.5,21.5,43.4,51.7,79.8,46.4,81.3,83.8,82.8
RA-0020142-01,110-F5,R644633,P1-E7,I13,C13H10Cl2N2O2,"3-(3,4-dichlorophenyl)-1-(2-hydroxyphenyl)urea",OC1=CC=CC=C1NC(NC2=CC(Cl)=C(Cl)C=C2)=O,49.9,63.5,70.6,Undefined,72.1,87.4,56.3,79.8,77.5,74.5,63,84.2,116.8,125.4,131.2,86.7,120,74.6,91.6,83.9,94.2
RA-0020143-01,30-I7,ST080595,P1-B2,C3,C20H12N3NaO7S,"3-hydroxy-4-[(1-hydroxy(2-naphthyl))diazenyl]-7-nitronaphthalenesulfonic acid, sodium salt",OC(C=C1S(O)(=O)=O)=C(C2=C1C=C(C=C2)[N+]([O-])=O)N=NC3=CC=C(C=CC=C4)C4=C3O,12.6,64.3,81.7,Undefined,85.1,86.4,65.4,62.8,36.1,64.7,24.8,69.7,107.2,133.1,123.3,73.2,104.7,105.9,84.4,116.1,121.7
RA-0020144-01,17-N7,ST083141,P1-A6,A11,C18H15NO5S2,2-{1-hydroxy-4-[(phenylsulfonyl)amino]-2-naphthylthio}acetic acid,OC(CSC1=C(O)C2=C(C=CC=C2)C(NS(=O)(C3=CC=CC=C3)=O)=C1)=O,7.3,66.8,13.7,2.63,91.9,16.1,43.6,11.8,32.8,4.6,23.8,72,114.7,90.9,136.8,82.9,111.1,81,112.3,105.6,135.4
RA-0020145-01,21-C4,ST088252,P1-F9,K17,C19H22N2O3S2,(2E)-N-[4-(azaperhydroepinylsulfonyl)phenyl]-3-(2-thienyl)prop-2-enamide,O=C(C=CC1=CC=CS1)NC2=CC=C(S(=O)(N3CCCCCC3)=O)C=C2,55.8,67.1,74.3,Undefined,80.9,94.7,72.2,83.5,93.9,84.9,75.7,92.1,98.5,50.2,115.2,116,131.2,118.8,76,126.4,71.1
RA-0020146-01,75-I14,ST040794,P1-G9,M17,C19H15ClFN3O3S,1-(4-chlorophenyl)-3-{4-[(4-fluorophenyl)sulfamoyl]phenyl}urea,FC1=CC=C(NS(=O)(C2=CC=C(NC(NC3=CC=C(Cl)C=C3)=O)C=C2)=O)C=C1,58,67.6,69.1,Undefined,67.7,95.5,58.7,74.8,81.1,67.1,69.5,88.7,99.7,22.8,91.6,68.4,120.7,75.5,84.2,82.5,91.7
RA-0020147-01,3-L15,ST032087,P1-D5,G9,C16H13N7O3S2,"2-(5-ethyl(1,2,4-triazino[5,6-b]indol-3-ylthio))-N-(5-nitro(1,3-thiazol-2-yl)) acetamide",CCN1C2=C(C=CC=C2)C3=NN=C(SCC(NC(S4)=NC=C4[N+]([O-])=O)=O)N=C13,43.2,67.6,64.8,Undefined,86.4,82.5,75,58.8,39.9,15.4,41.2,90.9,111.5,99.1,142.8,79.4,110.8,100,122.8,114.7,136
RA-0020148-01,28-M10,ST075671,P1-E12,I23,C22H22Cl2O4,"6-chloro-4-(7-chloro-6-hydroxyspiro[1,2,3,3a,9a-pentahydrocyclopenta[1,2-b]chr omane-9,1'-cyclopentane]-3a-yl)benzene-1,3-diol",OC1=CC(O)=C(C23CCCC2C4(C5=CC(Cl)=C(C=C5O3)O)CCCC4)C=C1Cl,53.1,67.8,82.9,Undefined,90.2,91.8,79.3,76.6,73,92.5,78.1,75.4,98.2,120.9,99.3,58.6,100.1,57.8,76.8,57.1,65.1
RA-0020149-01,3-I17,ST025568,P1-B4,C7,C11H7Cl2NO2,"3,4-dichloro-1-benzylazoline-2,5-dione",ClC(C1=O)=C(C(N1CC2=CC=CC=C2)=O)Cl,13.6,68.4,64.1,Undefined,82,91.9,67.2,64.9,40.3,21.9,74.7,81.2,116,102.9,145.3,85.5,98.4,100.5,143.2,119.2,133.6
RA-0020150-01,88-E16,ST058245,P1-D12,G23,C21H21N3O5S,"3-{4-[(2,5-dimethoxyphenyl)sulfamoyl]phenyl}-1-phenylurea",COC1=CC(NS(=O)(C2=CC=C(NC(NC3=CC=CC=C3)=O)C=C2)=O)=C(OC)C=C1,47,69.9,79.3,Undefined,81.3,91.8,73.2,78.3,83.7,83.9,78.3,67.9,101.2,97.3,77.9,62.3,119.7,48,85,61.5,69.5
RA-0020151-01,133-C3,ST083079,P1-F6,K11,C24H21NO5S2,"N-[4-hydroxy-3-(phenylsulfanyl)naphthalen-1-yl]-2,5-dimethoxybenzene-1-sulfonamide",COC1=CC(S(=O)(NC2=C3C(C=CC=C3)=C(O)C(SC4=CC=CC=C4)=C2)=O)=C(OC)C=C1,55.5,70.4,67.5,Undefined,90.1,92,80.7,85.4,55,73.2,76.9,108.4,124,73.1,127.2,82.7,91.1,93.6,120,93.8,92.9
RA-0020152-01,87-D20,ST057751,P1-G4,M7,C8H8N4O2S,"5-methanesulfonyl-1-phenyl-1H-1,2,3,4-tetrazole",CS(=O)(C1=NN=NN1C2=CC=CC=C2)=O,57,71.2,70.2,Undefined,79.3,89.3,75.9,76.8,36.3,14.4,83,110.3,127.9,11.7,38,30.3,84.1,16.9,67.3,60.3,92.1
RA-0020153-01,157-F5,ST105210,P2-D10,G20,C18H17Cl3N2O2,"4-(4-chlorophenyl)-N-(3,4-dichlorophenyl)-4-hydroxypiperidine-1-carboxamide",OC1(CCN(CC1)C(=O)NC2=CC=C(Cl)C(=C2)Cl)C3=CC=C(Cl)C=C3,60.8,71.3,75.3,Undefined,89.5,94.4,80,74.4,83.6,89.1,80.4,97.7,92.5,19.2,105.1,129.5,104.2,45.1,52.6,142.4,78.3
RA-0020154-01,87-A18,ST057208,P1-D3,G5,C15H9ClF3NOS,2-chloro-1-[2-(trifluoromethyl)-10H-phenothiazin-10-yl]ethan-1-one,FC(F)(C1=CC2=C(SC3=CC=CC=C3N2C(CCl)=O)C=C1)F,42,73.8,67.5,Undefined,91.5,93.9,81.9,101.6,63.5,88.5,85,85.9,115.2,86.1,101.3,94.4,132.9,86.4,107.4,113.1,128.4
RA-0020155-01,67-O05,ST029248,P1-H6,O11,C22H30O2S,2-(tert-butyl)-4-[5-(tert-butyl)-4-hydroxy-2-methylphenylthio]-5-methylphenol,CC1=CC(O)=C(C(C)(C)C)C=C1SC2=CC(C(C)(C)C)=C(C=C2C)O,60.6,74.6,95.7,Undefined,89.8,90.9,73.3,83.3,86.1,95,70.7,91.9,86.4,67.6,119.1,90.3,107.6,81.5,6,91.8,99.5
RA-0020156-01,76-M17,ST042035,P1-F3,K5,C18H14Cl2N4OS,N-(4-chlorophenyl)-2-({6-[(4-chlorophenyl)amino]pyridazin-3-yl}sulfanyl)acetamide,ClC1=CC=C(NC(CSC2=NN=C(NC3=CC=C(Cl)C=C3)C=C2)=O)C=C1,53.9,75.3,85.3,Undefined,93.7,99.6,67.6,95.6,102,92.7,69.5,109.6,109.6,100.9,117,76.9,106.1,86.2,97.7,100.3,92.8
RA-0020157-01,120-D13,ST030723,P1-E4,I7,C14H10ClF3N2O,1-(3-chlorophenyl)-3-[4-(trifluoromethyl)phenyl]urea,FC(F)(C1=CC=C(NC(NC2=CC(Cl)=CC=C2)=O)C=C1)F,48.4,75.6,72.2,Undefined,82.9,93.8,66.6,100.1,103.4,87.5,73,97.4,114.5,62.4,121.4,75.7,109.3,36.2,120.3,95.2,99.8
RA-0020158-01,4-K14,ST041923,P1-H5,O9,C17H14N2O7S,"4-{5-[(1,3-dimethyl-2,4,6-trioxo-1,3-dihydropyrimidin-5-ylidene)methyl]-2-fury l}benzenesulfonic acid",O=S(C1=CC=C(C=C1)C(O2)=CC=C2/C=C(C(N3C)=O)/C(N(C3=O)C)=O)(O)=O,60.2,75.8,76.4,Undefined,91.4,98.9,79.1,100.5,94.2,95.7,84.6,97.2,88.5,139,124.4,103.3,116.8,143.7,133.5,125.8,113.9
RA-0020159-01,2-D20,ST021451,P1-D4,G7,C17H12ClN5OS,N-((1E)-2-indol-3-yl-1-azavinyl)[3-(5-chloro(2-thienyl))pyrazol-5-yl]carboxami de,ClC1=CC=C(C2=NNC(C(NN=CC3=CNC4=C3C=CC=C4)=O)=C2)S1,42.6,76.7,90.2,Undefined,90.4,94.9,68.2,95.3,99.9,89.9,70.4,81,99.1,89,106.6,95,106.5,172.2,52.7,129.2,95
RA-0020160-01,4-L14,ST050631,P1-H1,O1,C15H13ClN4O,"6-amino-4-(4-chlorophenyl)-3-ethyl-4H-pyrano[3,2-d]pyrazole-5-carbonitrile",CCC1=NNC(O2)=C1C(C(C#N)=C2N)C3=CC=C(C=C3)Cl,58.6,77.2,98.2,Undefined,85.6,89.9,70.2,92.1,77,85.9,67.7,78,66.9,107.4,62.8,80.7,93.5,35.4,92.4,84.5,107.5
RA-0020161-01,10-I11,ST071278,P1-H12,O23,C21H14BrN5O2,"6-amino-14-bromo-3-methyl-11-oxo-1-phenylspiro[4H-pyrano[3,2-d]pyrazole-4,3'-i ndoline]-5-carbonitrile",CC1=NN(C2=CC=CC=C2)C3=C1C4(C(NC5=CC=C(C=C45)Br)=O)C(C#N)=C(N)O3,61.7,77.8,90.5,Undefined,86.7,93.8,83.5,88.4,51.7,78.5,81.7,91.8,91.8,132.9,94.5,65,89.7,87.3,108.2,58.5,83.3
RA-0020162-01,109-M12,R539872,P1-F11,K21,C12H12O5,"5,6-diethoxy-4,7-dihydro-1-benzofuran-4,7-dione",CCOC(C1=O)=C(C(C2=C1C=CO2)=O)OCC,55.9,78.1,75.6,Undefined,92.6,56.9,87.1,78.8,86.2,89.4,89,98.6,110.3,91,114.4,69,124.9,98.4,118.6,81.7,91.8
RA-0020163-01,66-M19,ST028080,P1-C7,E13,C16H13Cl4N3O3,"[(3,4-dichlorophenyl)amino]-N-{2-[N-(3,4-dichlorophenyl)carbamoyloxy]ethyl}car boxamide",ClC1=CC=C(C=C1Cl)NC(NCCOC(NC2=CC(Cl)=C(Cl)C=C2)=O)=O,34.3,78.3,101.9,Undefined,84.6,88.5,71.8,83.9,88.8,83,72.1,76.1,113.9,120.6,131.8,78.3,91.3,104.4,128.6,102.2,123.9
RA-0020164-01,115-E7,S500720,P1-A12,A23,C20H16O5,6-(6-hydroxy-3-oxo-3H-xanthen-9-yl)cyclohex-3-ene-1-carboxylic acid,OC(C1CC=CCC1C(C2=C(O3)C=C(O)C=C2)=C4C3=CC(C=C4)=O)=O,10.9,78.5,101.2,Undefined,90.5,95,87.9,78.8,59.6,86.2,82.4,49.3,94.5,95.9,95.8,71.3,109,89.2,99.2,59.5,81.2
RA-0020165-01,87-G6,ST056991,P1-A11,A21,C26H16Cl2N2O5S,"4-(5-{[(4E)-1-(3,4-dichlorophenyl)-5-oxo-3-phenyl-4,5-dihydro-1H-pyrazol-4-ylidene]methyl}furan-2-yl)benzene-1-sulfonic acid",OS(=O)(C1=CC=C(C(O2)=CC=C2C=C3C(N(C4=CC(Cl)=C(Cl)C=C4)N=C3C5=CC=CC=C5)=O)C=C1)=O,9.8,78.6,87,Undefined,81.6,96.5,89.1,80,60.1,83.2,91.7,71,92.9,99.8,121,81.2,145.4,85.9,115.4,86.7,110.2
RA-0020166-01,144-L6,ST097120,P2-D2,G4,C20H13N3O3S,"2-(2H-1,3-benzodioxole-5-carbonyl)-6-(pyridin-4-yl)thieno[2,3-b]pyridin-3-amine",NC1=C(SC2=C1C=CC(=N2)C3=CC=NC=C3)C(=O)C4=CC=C5OCOC5=C4,40.1,79.1,89.8,Undefined,97,103.4,79.2,88.1,69.7,97.7,74.2,98.5,86.4,73.6,113,60,103.2,74.9,124.5,109.9,111.3
RA-0020167-01,153-D20,ST102907,P2-D5,G10,C10H8O4,"5,8-dihydroxy-1,2,3,4-tetrahydronaphthalene-1,4-dione
",OC1=C2C(=O)CCC(=O)C2=C(O)C=C1,33.1,79.5,70.6,Undefined,87.4,18.2,80.7,28.1,42.5,32.6,61.6,50.7,72.6,9,56.7,8.9,76.2,4.1,58.2,30.2,56.6
RA-0020168-01,89-N11,ST059349,P1-D9,G17,C20H19N3O3S,3-{4-[(3-methylphenyl)sulfamoyl]phenyl}-1-phenylurea,CC1=CC(NS(=O)(C2=CC=C(NC(NC3=CC=CC=C3)=O)C=C2)=O)=CC=C1,45.4,81,74.2,Undefined,86,94.2,75.3,86.1,88.5,86.3,75.3,86.1,99.2,84.9,127,86.6,116.7,126,135.8,106.2,118.3
RA-0020169-01,145-I15,ST097261,P2-D3,G6,C13H8ClF3N4OS2,"1-[4-chloro-3-(trifluoromethyl)phenyl]-3-[3-(prop-2-yn-1-ylsulfanyl)-1,2,4-thiadiazol-5-yl]urea",FC(F)(F)C1=C(Cl)C=CC(=C1)NC(=O)NC2=NC(=NS2)SCC#C,51.4,81.5,90.7,Undefined,84.8,89.8,65.9,95.3,95.6,85.3,72.7,101.4,71.2,62.2,101.7,103.8,103.7,46.6,60.6,191.4,88.3
RA-0020170-01,110-C5,R579785,P2-E3,I6,C12H6Cl2N2O6S,4-chloro-2-[(5-chloro-2-hydroxy-3-nitrophenyl)sulfanyl]-6-nitrophenol,OC1=C(C=C(Cl)C=C1SC2=CC(=CC(=C2O)[N+]([O-])=O)Cl)[N+]([O-])=O,64.2,82.5,70.3,Undefined,87.7,89.3,77.9,84.6,53,84,78.3,116.5,91.1,105.6,111.2,93,95.9,49.4,126.3,111,80.8
RA-0020171-01,108-A9,R427551,P1-C12,E23,C8H11NOS2,"3-ethyl-5-(propan-2-ylidene)-2-sulfanylidene-1,3-thiazolidin-4-one",O=C1N(C(S/C1=C(C)\C)=S)CC,40.2,82.8,88.8,Undefined,90.1,92,93.2,66.7,67.4,93.8,88.6,71.5,107.4,85,88.1,68.2,104.4,63.1,107.5,50.9,53.7
RA-0020172-01,99-O5,ST073700,P1-H2,O3,C11H14N4O,"7-(piperidin-1-yl)-2,1,3-benzoxadiazol-4-amine",NC1=CC=C(C2=NON=C12)N3CCCCC3,59.4,83.5,90.2,Undefined,86.6,87.2,73.6,97.7,85.3,95.2,71,87.4,79,134.5,127.9,88.8,105.4,93.8,116.8,127.9,90.1
RA-0020173-01,46-J05,ST076927,P2-B5,C10,C21H12ClN3O2,"3-amino-5-(2H-1,3-benzodioxol-5-yl)-4'-chloro-[1,1'-biphenyl]-2,4-dicarbonitrile",NC1=C(C#N)C(=CC(=C1C#N)C2=CC=C(Cl)C=C2)C3=CC=C4OCOC4=C3,63.6,85.8,80.8,Undefined,96.9,94.5,88.7,81.7,73.1,92,81.8,90.5,79.4,143.2,117.7,115.9,118.1,108.8,143.9,132.1,126.9
RA-0020174-01,12-K4,ST073566,P1-H11,O21,C17H26N2O3S,3-(4-{[(tert-butyl)amino]sulfonyl}phenyl)-1-pyrrolidinylpropan-1-one,CC(C)(NS(=O)(C1=CC=C(CCC(N2CCCC2)=O)C=C1)=O)C,61.5,87.2,101.9,Undefined,92.7,94.2,87.2,97.3,87.8,99,80.6,95.9,99.3,136.3,111.8,91.1,126.4,139.5,134.7,91,92.6
RA-0020175-01,4-G7,ST037201,P1-F5,K9,C16H18N4O,"6-(methylethyl)-4-oxo-3-propylcyclohexane-1,1,2,2-tetracarbonitrile",CCCC(C1(C#N)C#N)C(CC(C1(C#N)C#N)C(C)C)=O,55.5,87.7,71.9,Undefined,96.1,96.4,83.9,106.3,70.7,93.6,86,100.8,116.9,88.4,129.7,90.8,130.8,85.3,122.9,95.6,102.5
RA-0020176-01,118-M13,ST012018,P1-D10,G19,C20H11Br2Cl2NO3,"3,5-dibromo-N-[4-chloro-3-(4-chlorobenzoyl)phenyl]-2-hydroxybenzamide",OC1=C(C=C(C=C1C(NC2=CC(C(C3=CC=C(Cl)C=C3)=O)=C(Cl)C=C2)=O)Br)Br,45.9,88,62.3,Undefined,100.8,98.4,93.6,85.8,87.1,96.5,93,75.4,123.7,75.5,128,79.9,110.6,37.9,119.3,100.1,110.5
